"","aju1A","aju1B","aju1C","aju1D","aju1E","aju1F","aju1G","aju2A","aju2B","aju2C","aju2D","aju2E","aju2F","aju3A","aju3B","aju3C","aju3D","aju3E","aju4A","aju4B","aju4C","aju4D","aju4E","aju4F","aju5A","aju5B","aju5C","aju5D","aju5E","aju5G","aju6A","aju6B","aju6C","aju6D","aju6E","aju6F","aju7A","aju7B","aju7C","aju7D","aju8A","aju8B","aju8C"
"ASV86",0,125,12,188,73,174,117,0,0,7,58,11,46,0,0,0,7,0,0,0,0,23,150,16,0,0,18,181,190,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV137",0,53,14,104,0,73,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,84,0,0,0,8,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV276",0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,3,3
"ASV74",0,0,0,0,0,0,0,600,329,130,135,71,96,0,0,0,0,0,0,0,0,0,0,0,86,6,218,0,20,158,0,0,0,0,0,0,0,9,0,99,0,0,0
"ASV128",0,0,0,0,0,0,0,251,125,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,116,0,0,55,0,0,0,0,0,0,0,6,0,0,0,0,0
"ASV3",270,454,72,157,48,20,0,560,1729,760,796,409,270,0,0,0,0,0,52,100,198,88,43,62,177,0,489,0,30,151,2484,6247,4623,2365,3409,3208,4,170,22,513,3374,4031,5214
"ASV61",0,0,0,0,0,0,0,67,279,64,123,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,39,532,658,838
"ASV32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882,2009,1073,606,488,722,0,0,0,0,256,259,238
"ASV103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,362,198,42,51,58,0,0,0,0,0,0,0
"ASV120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,327
"ASV144",11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,54,0,0,15,0,0,28,0,29,40,113,140
"ASV104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,74,0,88,101,339,301
"ASV95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,41,0,83,0,108,125,408,326
"ASV6",1058,1283,62,34,868,383,0,905,669,411,390,191,407,571,44,11,57,0,931,624,247,380,80,230,1186,120,220,0,9,428,686,2001,1146,275,1042,840,213,1658,662,1954,2791,3944,4092
"ASV113",8,19,0,0,0,0,0,0,38,15,15,14,86,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,77,277,99,20,44,85,0,0,0,0,0,0,0
"ASV322",4,7,0,0,0,6,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"ASV197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV22",175,479,45,39,36,64,8,55,286,160,73,102,257,1697,143,74,82,9,1667,1596,327,160,116,275,2564,52,329,24,91,62,272,279,150,53,57,82,0,0,0,0,0,0,0
"ASV45",98,201,0,24,0,0,0,0,97,42,33,41,137,840,0,0,0,18,667,607,73,36,0,72,911,0,149,0,0,0,440,178,32,0,0,0,0,0,0,0,0,0,0
"ASV180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV35",0,0,0,0,0,0,0,862,1932,1514,1576,515,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7",0,0,0,0,0,0,0,2883,6482,5052,5539,1501,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV49",0,0,0,0,0,0,0,0,1400,1111,1041,316,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"ASV72",10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,715,28,193,593,237,190
"ASV163",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
"ASV100",43,0,0,0,0,0,0,22,24,0,7,0,0,0,0,0,0,0,15,8,5,0,0,0,407,0,0,0,0,0,110,84,17,0,0,0,0,0,0,240,60,21,0
"ASV66",151,0,12,0,0,0,0,42,160,210,227,79,80,0,0,0,0,0,0,34,0,0,0,3,4,9,0,0,0,0,43,50,141,5,35,10,112,196,53,77,395,46,42
"ASV367",5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV47",116,163,0,0,166,74,0,82,144,98,141,54,140,349,0,7,48,0,507,205,160,50,0,42,36,6,82,0,16,42,51,255,106,5,115,101,71,93,0,47,287,304,471
"ASV50",103,147,0,6,258,323,0,103,401,350,369,188,277,197,14,0,73,0,64,101,40,0,0,18,0,0,0,0,0,0,0,62,18,0,26,24,100,81,48,42,157,269,346
"ASV60",69,64,0,0,68,62,0,145,184,102,163,80,147,43,0,0,0,0,269,170,95,45,8,42,13,0,57,0,9,46,44,225,141,7,119,85,0,79,0,34,4,26,30
"ASV105",84,62,0,0,98,51,0,0,32,35,50,0,0,242,0,0,0,0,133,38,0,0,0,15,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,42,0,0
"ASV248",0,0,0,0,3,0,0,0,14,13,13,10,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ASV96",44,42,0,0,18,5,0,10,93,63,63,18,54,4,0,0,20,0,118,54,36,20,5,7,139,0,23,0,0,18,44,68,98,6,44,23,0,5,0,8,21,2,5
"ASV193",61,16,0,0,28,12,0,0,18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,13,0,0,0
"ASV25",750,411,10,7,605,242,0,250,1264,920,581,386,580,428,0,0,46,0,721,340,80,117,4,45,52,17,18,0,8,25,257,662,260,33,299,206,9,273,18,301,186,151,181
"ASV277",0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0,25,0,0,120,0,0,0,0,0,0,0,0,89,187,66,0,0,0,0,12,0,0,0,0,4,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ASV311",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV361",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
"ASV237",26,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0,4,0,8,0,0,0,0,0,0,0,0
"ASV201",5,0,0,0,0,0,0,7,45,33,31,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0
"ASV165",34,0,0,0,0,0,0,12,59,46,30,24,47,0,0,0,0,0,44,17,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,0
"ASV235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,14,0,38,20,0,0,0,0,0,0,0
"ASV298",0,0,0,0,0,0,0,0,5,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"ASV131",299,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,33,0,67,23,24,21,32
"ASV319",0,0,0,0,0,0,0,0,17,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV244",25,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0
"ASV69",89,6,0,0,0,0,0,28,163,110,123,27,21,45,0,0,0,0,21,39,0,0,0,0,0,0,18,0,0,16,18,18,9,0,13,0,98,72,127,1018,41,9,8
"ASV8",944,260,2,20,281,55,0,1074,3425,2596,3069,682,1013,280,28,0,30,0,1340,1760,217,139,52,340,53,4,102,0,12,363,465,927,298,50,945,409,305,109,5,225,318,241,460
"ASV41",260,228,4,5,183,207,0,22,24,12,7,0,0,205,0,0,19,0,1203,1294,307,74,13,65,191,25,157,0,22,51,52,212,23,0,66,51,49,18,8,33,71,83,140
"ASV262",0,8,0,0,24,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV119",52,3,0,0,0,0,0,147,55,55,78,21,48,171,0,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0,41,0,13,0,0,0,0,0,0,0,23,0,0
"ASV80",70,0,0,0,0,0,0,29,126,123,80,32,37,10,0,0,0,0,9,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,15,994,10,0,43,13,27
"ASV337",0,0,0,0,0,0,0,0,3,1,2,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV228",0,0,0,0,0,0,0,0,0,18,28,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,10,0,0,0,0
"ASV136",39,0,0,0,0,0,0,40,84,16,29,14,25,0,0,0,0,0,36,11,0,0,0,0,69,0,0,0,0,0,6,7,9,0,15,6,0,45,14,0,23,0,6
"ASV352",0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV372",0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV118",0,0,0,0,0,0,0,8,16,23,46,21,38,176,0,0,0,0,0,0,0,0,0,12,38,0,0,0,0,0,55,47,77,0,66,62,0,15,9,15,0,31,0
"ASV82",132,154,0,0,115,16,0,12,76,17,56,14,0,34,0,0,0,0,181,105,0,0,0,13,9,0,10,0,0,52,69,49,71,0,94,32,0,53,0,36,63,115,83
"ASV257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,38
"ASV19",1412,830,0,0,900,58,0,706,616,314,579,202,251,798,36,0,96,0,1094,1428,74,66,16,162,1717,32,55,3,4,421,381,107,303,0,293,193,129,112,30,39,197,195,154
"ASV125",0,0,0,0,0,0,0,151,117,29,46,0,0,0,0,0,0,0,177,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV18",687,446,0,0,501,111,0,589,731,477,1007,249,326,2347,25,17,63,0,838,751,62,81,9,151,2339,22,88,0,35,498,409,277,266,0,316,125,50,31,0,17,66,16,30
"ASV154",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,27,8,0
"ASV140",12,0,0,0,14,23,0,10,20,11,9,0,11,29,0,0,0,0,47,67,0,0,0,0,96,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,66,30,0
"ASV268",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"ASV309",0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
